ENSEMBL,ENTREZID,SYMBOL,type,pi_value_C9,pi_value_C12,pi_value_C15,pi_value_C9_C12_C15,description,summary_entrez,summary_genecard,summary_uniport,summary_Tocris,summary_CIViC
ENSG00000261459,NA,NA,Protein Coding,0.000150676943090009,2.78294612478668,3.43847906744148,9.5691019958964,Killer Cell Immunoglobulin Like Receptor_ Three Ig Domains And Long Cytoplasmic Tail 2,Entrez Gene Summary for KIR3DL2 Gene Killer cell immunoglobulin-like receptors (KIRs) are transmembrane glycoproteins expressed by natural killer cells and subsets of T cells. The KIR genes are polymorphic and highly homologous and they are found in a clu,GeneCards Summary for KIR3DL2 Gene KIR3DL2 (Killer Cell Immunoglobulin Like Receptor_ Three Ig Domains And Long Cytoplasmic Tail 2) is a Protein Coding gene.Diseases associated with KIR3DL2 include Mild Pre-Eclampsia and Sezary's Disease.Among its related,UniProtKB/Swiss-Prot for KIR3DL2 GeneKI3L2_HUMAN_P43630Receptor on natural killer (NK) cells for HLA-A alleles. Inhibits the activity of NK cells thus preventing cell lysis.,NA,NA
ENSG00000267645,246721,POLR2J2,NA,2.89950552277939,3.14428479093226,0.0264729545793345,9.11687111649932,NA,NA,NA,NA,NA,NA
ENSG00000178860,9242,MSC,Protein Coding,3.7067932439772,2.33054618587157,8.61916797604103e-06,8.63885285656558,Keratin 5,Entrez Gene Summary for KRT5 Gene The protein encoded by this gene is a member of the keratin gene family. The type II cytokeratins consist of basic or neutral proteins which are arranged in pairs of heterotypic keratin chains coexpressed during different,GeneCards Summary for KRT5 Gene KRT5 (Keratin 5) is a Protein Coding gene.Diseases associated with KRT5 include Epidermolysis Bullosa Simplex With Mottled Pigmentation and Epidermolysis Bullosa Simplex_ Generalized.Among its related pathways are Cytoskele,Additional gene information for KRT5 Gene HGNC(6442)Entrez Gene(3852)Ensembl(ENSG00000186081)OMIM(148040)UniProtKB(P13647) Monarch InitiativeSearch for KRT5 at DataMedSearch for KRT5 at HumanCyc,NA,NA
ENSG00000130529,54795,TRPM4,Protein Coding,2.59736364120064,0.151732909579663,2.85135317201307,7.40600105720887,Myomesin 2,Entrez Gene Summary for MYOM2 Gene The giant protein titin_ together with its associated proteins, interconnects the major structure of sarcomeres, the M bands and Z discs. The C-terminal end of the titin string extends into the M line, where it binds tig,GeneCards Summary for MYOM2 Gene MYOM2 (Myomesin 2) is a Protein Coding gene.Diseases associated with MYOM2 include Rheumatic Fever and Plasma Cell Neoplasm.Gene Ontology (GO) annotations related to this gene include structural constituent of muscle.An im,UniProtKB/Swiss-Prot for MYOM2 GeneMYOM2_HUMAN_P54296Major component of the vertebrate myofibrillar M band. Binds myosin, titin, and light meromyosin. This binding is dose dependent.,NA,NA
ENSG00000284713,NA,NA,Protein Coding,2.12985129036972,0.287409950684663,3.18268128074042,6.77863783262054,DNA Damage Inducible Transcript 4,Additional gene information for DDIT4 Gene HGNC(24944)Entrez Gene(54541)Ensembl(ENSG00000168209)OMIM(607729)UniProtKB(Q9NX09) Monarch InitiativeSearch for DDIT4 at DataMedSearch for DDIT4 at HumanCyc,GeneCards Summary for DDIT4 Gene DDIT4 (DNA Damage Inducible Transcript 4) is a Protein Coding gene.Among its related pathways are Gene Expression and MicroRNAs in cancer.Gene Ontology (GO) annotations related to this gene include 14-3-3 protein binding.A,UniProtKB/Swiss-Prot for DDIT4 GeneDDIT4_HUMAN_Q9NX09Regulates cell growth, proliferation and survival via inhibition of the activity of the mammalian target of rapamycin complex 1 (mTORC1). Inhibition of mTORC1 is mediated by a pathway that involves DDIT,NA,NA
ENSG00000264324,NA,NA,Protein Coding,5.28299465043026,0.574853566510487,2.19647160727344,6.67057075029104,LDOC1_ Regulator Of NFKB Signaling,Entrez Gene Summary for LDOC1 Gene The protein encoded by this gene contains a leucine zipper-like motif and a proline-rich region that shares marked similarity with an SH3-binding domain. The protein localizes to the nucleus and is down-regulated in some,GeneCards Summary for LDOC1 Gene LDOC1 (LDOC1_ Regulator Of NFKB Signaling) is a Protein Coding gene.An important paralog of this gene is RTL8B. ,UniProtKB/Swiss-Prot for LDOC1 GeneLDOC1_HUMAN_O95751May have an important role in the development and/or progression of some cancers.,NA,NA
ENSG00000259171,NA,NA,Protein Coding,2.10426035838782,3.13949949424977,0.0945191272829636,6.60632433092838,Family With Sequence Similarity 83 Member D,Additional gene information for FAM83D Gene HGNC(16122)Entrez Gene(81610)Ensembl(ENSG00000101447)UniProtKB(Q9H4H8) Search for FAM83D at DataMedSearch for FAM83D at HumanCyc,GeneCards Summary for FAM83D Gene FAM83D (Family With Sequence Similarity 83 Member D) is a Protein Coding gene.Diseases associated with FAM83D include Kleine-Levin Hibernation Syndrome.An important paralog of this gene is FAM83G. ,UniProtKB/Swiss-Prot for FAM83D GeneFA83D_HUMAN_Q9H4H8Probable proto-oncogene that regulates cell proliferation, growth, migration and epithelial to mesenchymal transition. Through the degradation of FBXW7, may act indirectly on the expression and downstr,NA,NA
ENSG00000277957,100533955,SENP3-EIF4A1,NA,0.012507557447186,5.3742114994963,1.21805721348423,6.54609708375135,NA,NA,NA,NA,NA,NA
ENSG00000259753,NA,NA,Protein Coding,2.95848660434622,0.00991694062732326,2.04759901511786,6.05779425729872,Amphiregulin,Entrez Gene Summary for AREG Gene The protein encoded by this gene is a member of the epidermal growth factor family. It is an autocrine growth factor as well as a mitogen for astrocytes_ Schwann cells and fibroblasts. It is related to epidermal growth fa,GeneCards Summary for AREG Gene AREG (Amphiregulin) is a Protein Coding gene.Diseases associated with AREG include Colorectal Cancer and Psoriasis.Among its related pathways are ERK Signaling and Akt Signaling.Gene Ontology (GO) annotations related to thi,UniProtKB/Swiss-Prot for AREG GeneAREG_HUMAN_P15514Ligand of the EGF receptor/EGFR. Autocrine growth factor as well as a mitogen for a broad range of target cells including astrocytes, Schwann cells and fibroblasts.,NA,CIViC summary for AREG Gene
ENSG00000186792,8372,HYAL3,Protein Coding,0.059592871657969,1.68271373164922,3.40399084163642,5.72794213162978,NIMA Related Kinase 10,Additional gene information for NEK10 Gene HGNC(18592)Entrez Gene(152110)Ensembl(ENSG00000163491)UniProtKB(Q6ZWH5) Monarch InitiativeSearch for NEK10 at DataMedSearch for NEK10 at HumanCyc,GeneCards Summary for NEK10 Gene NEK10 (NIMA Related Kinase 10) is a Protein Coding gene.Gene Ontology (GO) annotations related to this gene include transferase activity_ transferring phosphorus-containing groups and protein tyrosine kinase activity.An im,Additional gene information for NEK10 Gene HGNC(18592)Entrez Gene(152110)Ensembl(ENSG00000163491)UniProtKB(Q6ZWH5) Monarch InitiativeSearch for NEK10 at DataMedSearch for NEK10 at HumanCyc,NA,NA
ENSG00000244693,100142659,CTAGE8,NA,2.41734286030529,0.240044482639881,2.29545125416133,5.54889270042571,NA,NA,NA,NA,NA,NA
ENSG00000226174,647310,TEX22,NA,0.0175705291236495,2.43712988063782,2.19470607374874,5.34878375155037,NA,NA,NA,NA,NA,NA
ENSG00000066468,2263,FGFR2,Protein Coding,1.7032058934687,0.12253544017402,2.99274174030384,5.09725536971526,CTAGE Family Member 8,Additional gene information for CTAGE8 Gene HGNC(37294)Entrez Gene(100142659)Ensembl(ENSG00000244693)UniProtKB(P0CG41) Search for CTAGE8 at DataMedSearch for CTAGE8 at HumanCyc,GeneCards Summary for CTAGE8 Gene CTAGE8 (CTAGE Family Member 8) is a Protein Coding gene.An important paralog of this gene is CTAGE4. ,Additional gene information for CTAGE8 Gene HGNC(37294)Entrez Gene(100142659)Ensembl(ENSG00000244693)UniProtKB(P0CG41) Search for CTAGE8 at DataMedSearch for CTAGE8 at HumanCyc,NA,NA
ENSG00000162526,81629,TSSK3,Protein Coding,2.93196495232153,1.72892172307923,0.0328207348822624,5.06913789737566,Taste 2 Receptor Member 31,Entrez Gene Summary for TAS2R31 Gene TAS2R44 belongs to the large TAS2R receptor family. TAS2Rs are expressed on the surface of taste receptor cells and mediate the perception of bitterness through a G protein-coupled second messenger pathway (Conte et al,GeneCards Summary for TAS2R31 Gene TAS2R31 (Taste 2 Receptor Member 31) is a Protein Coding gene.Among its related pathways are Peptide ligand-binding receptors and Signaling by GPCR.Gene Ontology (GO) annotations related to this gene include G-protein co,UniProtKB/Swiss-Prot for TAS2R31 GeneT2R31_HUMAN_P59538Receptor that may play a role in the perception of bitterness and is gustducin-linked. May play a role in sensing the chemical composition of the gastrointestinal content. The activity of this recepto,NA,NA
ENSG00000168772,80319,CXXC4,Protein Coding,0.00789667413902882,1.39827225693218,3.61947120770414,5.06100617449749,SOGA Family Member 3,Additional gene information for SOGA3 Gene HGNC(21494)Entrez Gene(387104)Ensembl(ENSG00000214338)UniProtKB(Q5TF21) Search for SOGA3 at DataMedSearch for SOGA3 at HumanCyc,GeneCards Summary for SOGA3 Gene SOGA3 (SOGA Family Member 3) is a Protein Coding gene.Diseases associated with SOGA3 include Heart Conduction Disease.An important paralog of this gene is ENSG00000255330. ,Additional gene information for SOGA3 Gene HGNC(21494)Entrez Gene(387104)Ensembl(ENSG00000214338)UniProtKB(Q5TF21) Search for SOGA3 at DataMedSearch for SOGA3 at HumanCyc,NA,NA
ENSG00000183054,727851,RGPD8,Protein Coding,2.59451233429155,1.83206814650827,0.265944170168601,4.75332340337836,Armadillo-Like Helical Domain Containing 2,Additional gene information for ARMH2 Gene HGNC(49394)Entrez Gene(101928603)Ensembl(ENSG00000260286)UniProtKB(H3BNL8) Search for ARMH2 at DataMedSearch for ARMH2 at HumanCyc,GeneCards Summary for ARMH2 Gene ARMH2 (Armadillo-Like Helical Domain Containing 2) is a Protein Coding gene. ,Additional gene information for ARMH2 Gene HGNC(49394)Entrez Gene(101928603)Ensembl(ENSG00000260286)UniProtKB(H3BNL8) Search for ARMH2 at DataMedSearch for ARMH2 at HumanCyc,NA,NA
ENSG00000284194,9997,SCO2,Protein Coding,0.127286071134055,2.97273979942955,1.52598079677528,4.53634384773909,SET Domain Containing 9,Additional gene information for SETD9 Gene HGNC(28508)Entrez Gene(133383)Ensembl(ENSG00000155542)UniProtKB(Q8NE22) Search for SETD9 at DataMedSearch for SETD9 at HumanCyc,GeneCards Summary for SETD9 Gene SETD9 (SET Domain Containing 9) is a Protein Coding gene.Among its related pathways are Gene Expression and Regulation of TP53 Activity.Gene Ontology (GO) annotations related to this gene include methyltransferase activity,Additional gene information for SETD9 Gene HGNC(28508)Entrez Gene(133383)Ensembl(ENSG00000155542)UniProtKB(Q8NE22) Search for SETD9 at DataMedSearch for SETD9 at HumanCyc,NA,NA
ENSG00000118307,55259,CASC1,Protein Coding,2.81796490313111,0.015981781268107,1.60966697459951,4.53598504015064,Testis Specific Serine Kinase 3,Entrez Gene Summary for TSSK3 Gene This gene encodes a kinase expressed exclusively in the testis that is thought to play a role in either germ cell differentiation or mature sperm function. [provided by RefSeq_ Jul 2008],GeneCards Summary for TSSK3 Gene TSSK3 (Testis Specific Serine Kinase 3) is a Protein Coding gene.Among its related pathways are Sweet Taste Signaling.Gene Ontology (GO) annotations related to this gene include transferase activity_ transferring phosphoru,UniProtKB/Swiss-Prot for TSSK3 GeneTSSK3_HUMAN_Q96PN8May be involved in a signaling pathway during male germ cell development or mature sperm function.,NA,NA
ENSG00000198796,115701,ALPK2,Protein Coding,0.00133143825294992,1.31782665586423,3.35895079830412,4.42651489774162,Epiregulin,Entrez Gene Summary for EREG Gene This gene encodes a secreted peptide hormone and member of the epidermal growth factor (EGF) family of proteins. The encoded protein is a ligand of the epidermal growth factor receptor (EGFR) and the structurally related ,GeneCards Summary for EREG Gene EREG (Epiregulin) is a Protein Coding gene.Diseases associated with EREG include Colorectal Cancer and Breast Cancer.Among its related pathways are Development EGFR signaling pathway and Cytokine Signaling in Immune system.,UniProtKB/Swiss-Prot for EREG GeneEREG_HUMAN_O14944Ligand of the EGF receptor/EGFR and ERBB4. Stimulates EGFR and ERBB4 tyrosine phosphorylation (PubMed:9419975). Contributes to inflammation, wound healing, tissue repair, and oocyte maturation by regulati,NA,CIViC summary for EREG Gene
ENSG00000255330,387104,SOGA3,NA,2.21222997244215,1.98658440351816,0.0366470218754379,4.394781560249,NA,NA,NA,NA,NA,NA
ENSG00000113389,4883,NPR3,NA,0.00853298889781355,1.82653329933265,2.32204966682675,4.24130103916334,NA,NA,NA,NA,NA,NA
ENSG00000118257,8828,NRP2,NA,2.33055930915755,1.7269212409474,0.437670893093546,4.02469237427187,NA,NA,NA,NA,NA,NA
ENSG00000213214,445328,ARHGEF35,Protein Coding,3.99459007928537,0.0229553806247945,0.406081914954902,3.99459007928537,Potassium Two Pore Domain Channel Subfamily K Member 10,Entrez Gene Summary for KCNK10 Gene The protein encoded by this gene belongs to the family of potassium channel proteins containing two pore-forming P domains. This channel is an open rectifier which primarily passes outward current under physiological K+,GeneCards Summary for KCNK10 Gene KCNK10 (Potassium Two Pore Domain Channel Subfamily K Member 10) is a Protein Coding gene.Diseases associated with KCNK10 include Birk-Barel Mental Retardation Dysmorphism Syndrome and Dentin Sensitivity.Among its related,UniProtKB/Swiss-Prot for KCNK10 GeneKCNKA_HUMAN_P57789Outward rectifying potassium channel. Produces rapidly activating and non-inactivating outward rectifier K(+) currents. Activated by arachidonic acid and other naturally occurring unsaturated free fatt,Tocris Summary for KCNK10 Gene,NA
ENSG00000116299,57535,KIAA1324,Protein Coding,0.153481295235015,1.43598302425015,2.69192590366929,3.86555990020835,Forkhead Box D4 Like 4,Additional gene information for FOXD4L4 Gene HGNC(23762)Entrez Gene(349334)Ensembl(ENSG00000184659)OMIM(611085)UniProtKB(Q8WXT5) Search for FOXD4L4 at DataMedSearch for FOXD4L4 at HumanCyc,GeneCards Summary for FOXD4L4 Gene FOXD4L4 (Forkhead Box D4 Like 4) is a Protein Coding gene.Gene Ontology (GO) annotations related to this gene include DNA binding transcription factor activity and RNA polymerase II transcription factor activity_ sequenc,Additional gene information for FOXD4L4 Gene HGNC(23762)Entrez Gene(349334)Ensembl(ENSG00000184659)OMIM(611085)UniProtKB(Q8WXT5) Search for FOXD4L4 at DataMedSearch for FOXD4L4 at HumanCyc,NA,NA
ENSG00000283239,104266957,KBTBD11-OT1,Protein Coding,3.84875042796523,0.446153462629405,0.00710214456045142,3.84875042796523,Transmembrane Protein 121,Additional gene information for TMEM121 Gene HGNC(20511)Entrez Gene(80757)Ensembl(ENSG00000184986)UniProtKB(Q9BTD3) Search for TMEM121 at DataMedSearch for TMEM121 at HumanCyc,GeneCards Summary for TMEM121 Gene TMEM121 (Transmembrane Protein 121) is a Protein Coding gene. ,UniProtKB/Swiss-Prot for TMEM121 GeneTM121_HUMAN_Q9BTD3May play a role in MAPK signaling.,NA,NA
ENSG00000138180,55165,CEP55,Protein Coding,3.73879062965124,0.377893459415459,1.02505023345195,3.83244820775196,SCO2_ Cytochrome C Oxidase Assembly Protein,Entrez Gene Summary for SCO2 Gene Cytochrome c oxidase (COX) catalyzes the transfer of electrons from cytochrome c to molecular oxygen_ which helps to maintain the proton gradient across the inner mitochondrial membrane that is necessary for aerobic ATP p,GeneCards Summary for SCO2 Gene SCO2 (SCO2_ Cytochrome C Oxidase Assembly Protein) is a Protein Coding gene.Diseases associated with SCO2 include Myopia 6 and Cardioencephalomyopathy, Fatal Infantile, Due To Cytochrome C Oxidase Deficiency 1.Among its rel,UniProtKB/Swiss-Prot for SCO2 GeneSCO2_HUMAN_O43819Copper metallochaperone essential for the synthesis and maturation of cytochrome c oxidase subunit II (MT-CO2/COX2). Involved in transporting copper to the Cu(A) site on MT-CO2/COX2 (PubMed:15229189, PubM,NA,NA
ENSG00000088881,57593,EBF4,NA,2.65918410024628,1.43140524021549,0.00224566412651267,3.80637005579023,NA,NA,NA,NA,NA,NA
ENSG00000140488,60677,CELF6,Protein Coding,0.142655385180325,3.77392048294813,0.311920024620167,3.77392048294813,Parvalbumin,Entrez Gene Summary for PVALB Gene The protein encoded by this gene is a high affinity calcium ion-binding protein that is structurally and functionally similar to calmodulin and troponin C. The encoded protein is thought to be involved in muscle relaxati,GeneCards Summary for PVALB Gene PVALB (Parvalbumin) is a Protein Coding gene.Diseases associated with PVALB include Fish Allergy and Fetal Alcohol Syndrome.Gene Ontology (GO) annotations related to this gene include calcium ion binding and protein hetero,UniProtKB/Swiss-Prot for PVALB GenePRVA_HUMAN_P20472In muscle, parvalbumin is thought to be involved in relaxation after contraction. It binds two calcium ions.,NA,NA
ENSG00000112414,57211,ADGRG6,NA,0.120287722616459,2.40810670549713,1.54022782447922,3.70903295212167,NA,NA,NA,NA,NA,NA
ENSG00000170917,11162,NUDT6,NA,0.887924521013284,0.207973420885374,4.14110208140567,3.67698608209925,NA,NA,NA,NA,NA,NA
ENSG00000154380,55740,ENAH,NA,1.26493903648105,2.7858574572646e-05,2.89435122038043,3.66117784394579,NA,NA,NA,NA,NA,NA
ENSG00000274588,139189,DGKK,Protein Coding,2.63180423359455,1.38402208489912,0.0101868334317669,3.64247518242586,Nuclear Pore Complex Interacting Protein Family Member A7,Additional gene information for NPIPA7 Gene HGNC(41982)Entrez Gene(101059938)Ensembl(ENSG00000214967)UniProtKB(E9PJI5) Search for NPIPA7 at DataMedSearch for NPIPA7 at HumanCyc,GeneCards Summary for NPIPA7 Gene NPIPA7 (Nuclear Pore Complex Interacting Protein Family Member A7) is a Protein Coding gene.An important paralog of this gene is NPIPA8. ,Additional gene information for NPIPA7 Gene HGNC(41982)Entrez Gene(101059938)Ensembl(ENSG00000214967)UniProtKB(E9PJI5) Search for NPIPA7 at DataMedSearch for NPIPA7 at HumanCyc,NA,NA
ENSG00000063127,28968,SLC6A16,Protein Coding,2.5742741414148,1.29561021656999,0.0185607362018519,3.33525587786895,Leucine Rich Repeat And Fibronectin Type III Domain Containing 2,Additional gene information for LRFN2 Gene HGNC(21226)Entrez Gene(57497)Ensembl(ENSG00000156564)OMIM(612808)UniProtKB(Q9ULH4) Monarch InitiativeSearch for LRFN2 at DataMedSearch for LRFN2 at HumanCyc,GeneCards Summary for LRFN2 Gene LRFN2 (Leucine Rich Repeat And Fibronectin Type III Domain Containing 2) is a Protein Coding gene.Among its related pathways are Protein-protein interactions at synapses and Transmission across Chemical Synapses.An importa,UniProtKB/Swiss-Prot for LRFN2 GeneLRFN2_HUMAN_Q9ULH4Promotes neurite outgrowth in hippocampal neurons. Enhances the cell surface expression of 2 NMDA receptor subunits GRIN1 and GRIN2A. May play a role in redistributing DLG4 to the cell periphery (By sim,NA,NA
ENSG00000270757,100529241,HSPE1-MOB4,Protein Coding,3.32006741722649,0.176231482977898,0.0693259690703762,3.32006741722649,Leucine Rich Repeat Containing 57,Additional gene information for LRRC57 Gene HGNC(26719)Entrez Gene(255252)Ensembl(ENSG00000180979)UniProtKB(Q8N9N7) Search for LRRC57 at DataMedSearch for LRRC57 at HumanCyc,GeneCards Summary for LRRC57 Gene LRRC57 (Leucine Rich Repeat Containing 57) is a Protein Coding gene.An important paralog of this gene is PIDD1. ,Additional gene information for LRRC57 Gene HGNC(26719)Entrez Gene(255252)Ensembl(ENSG00000180979)UniProtKB(Q8N9N7) Search for LRRC57 at DataMedSearch for LRRC57 at HumanCyc,NA,NA
ENSG00000285708,27086,FOXP1,Protein Coding,1.25055211236754,0.557376074345684,4.7012915361645,3.2769310242802,Potassium Voltage-Gated Channel Subfamily E Regulatory Subunit 1,Entrez Gene Summary for KCNE1 Gene The product of this gene belongs to the potassium channel KCNE family. Potassium ion channels are essential to many cellular functions and show a high degree of diversity_ varying in their electrophysiologic and pharmaco,GeneCards Summary for KCNE1 Gene KCNE1 (Potassium Voltage-Gated Channel Subfamily E Regulatory Subunit 1) is a Protein Coding gene.Diseases associated with KCNE1 include Jervell And Lange-Nielsen Syndrome 2 and Long Qt Syndrome 5.Among its related pathway,UniProtKB/Swiss-Prot for KCNE1 GeneKCNE1_HUMAN_P15382Ancillary protein that assembles as a beta subunit with a voltage-gated potassium channel complex of pore-forming alpha subunits. Modulates the gating kinetics and enhances stability of the channel comp,Tocris Summary for KCNE1 GeneVoltage-gated potassium channels (KV) belong to the 6-TM family of potassium channel that also comprises the Ca2+-activated Slo (actually 7-TM) and the Ca2+-activated SK subfamilies. The alpha-subunits contain a single pore-fo,NA
ENSG00000180834,79929,MAP6D1,Protein Coding,0.92226308063237,0.130707052938875,3.48186250507884,3.21119324027235,RAB19_ Member RAS Oncogene Family,Additional gene information for RAB19 Gene HGNC(19982)Entrez Gene(401409)Ensembl(ENSG00000146955)UniProtKB(A4D1S5) Search for RAB19 at DataMedSearch for RAB19 at HumanCyc,GeneCards Summary for RAB19 Gene RAB19 (RAB19_ Member RAS Oncogene Family) is a Protein Coding gene.Among its related pathways are Metabolism of proteins and RAB geranylgeranylation.Gene Ontology (GO) annotations related to this gene include GTP binding a,Additional gene information for RAB19 Gene HGNC(19982)Entrez Gene(401409)Ensembl(ENSG00000146955)UniProtKB(A4D1S5) Search for RAB19 at DataMedSearch for RAB19 at HumanCyc,NA,NA
ENSG00000267059,NA,NA,Protein Coding,2.17143451626867,0.368674014387382,1.44541322502092,3.13862016708163,Syntaxin 1A,Entrez Gene Summary for STX1A Gene This gene encodes a member of the syntaxin superfamily. Syntaxins are nervous system-specific proteins implicated in the docking of synaptic vesicles with the presynaptic plasma membrane. Syntaxins possess a single C-ter,GeneCards Summary for STX1A Gene STX1A (Syntaxin 1A) is a Protein Coding gene.Diseases associated with STX1A include Cystic Fibrosis and Osteogenesis Imperfecta_ Type Xv.Among its related pathways are Neurotransmitter Release Cycle and Uptake and actions ,UniProtKB/Swiss-Prot for STX1A GeneSTX1A_HUMAN_Q16623Plays a role in hormone and neurotransmitter exocytosis (By similarity). Potentially involved in docking of synaptic vesicles at presynaptic active zones. May mediate Ca(2+)-regulation of exocytosis acr,NA,NA
ENSG00000242852,163051,ZNF709,NA,3.3571221975152,1.13762715573904,0.807744010004835,3.08489826358378,NA,NA,NA,NA,NA,NA
